,NUM_CASOS,ALCALDIA,COLONIA_HECHOS,DENUNCIAS,POBLACION,indice,PRECIO_POR_METRO_CUADRADO
0,468,COYOACAN,PEDREGAL DE SANTO DOMINGO,519,93364,5.558887793999999,27000.0
1,760,IZTACALCO,AGRICOLA ORIENTAL,555,83600,6.638755981,16949.0
2,848,IZTAPALAPA,DESARROLLO URBANO QUETZALCOATL,218,61837,3.525397416,9960.0
3,552,CUAUHTEMOC,CENTRO,1302,61229,21.26443352,45037.0
4,761,IZTACALCO,AGRICOLA PANTITLAN,364,60708,5.995914871,16949.0
5,976,IZTAPALAPA,SAN MIGUEL TEOTONGO,175,55820,3.135077033,9960.0
6,840,IZTAPALAPA,CHINAMPAC DE JUÁREZ,120,53468,2.244333059,9960.0
7,358,BENITO JUAREZ,NARVARTE,319,52050,6.128722382,44167.0
8,713,GUSTAVO A MADERO,SAN FELIPE DE JESUS,198,49970,3.962377426,14545.0
9,1484,VENUSTIANO CARRANZA,JARDIN BALBUENA,233,46624,4.997426218,18251.0
10,556,CUAUHTEMOC,DOCTORES,626,44703,14.00353444,45037.0
11,467,COYOACAN,PEDREGAL DE SANTA URSULA,208,43774,4.751679079,27000.0
12,912,IZTAPALAPA,LOMAS DE SAN LORENZO,201,42807,4.695493728,9960.0
13,1492,VENUSTIANO CARRANZA,MOCTEZUMA 2A SECCION,339,42795,7.921486155,18251.0
14,560,CUAUHTEMOC,GUERRERO,445,42339,10.51040412,45037.0
15,575,CUAUHTEMOC,SANTA MARIA LA RIBERA,390,40960,9.521484375,45037.0
16,1004,IZTAPALAPA,UNIDAD VICENTE GUERRERO,147,37812,3.8876547130000003,9960.0
17,383,COYOACAN,AJUSCO,220,36665,6.00027274,27000.0
18,565,CUAUHTEMOC,MORELOS,296,36590,8.089641979,45037.0
19,987,IZTAPALAPA,SANTA MARTHA ACATITLA,185,36329,5.092350464,9960.0
20,988,IZTAPALAPA,SANTA MARTHA ACATITLA NORTE,100,36329,2.7526218719999997,9960.0
21,550,CUAUHTEMOC,BUENAVISTA,253,35668,7.093192778,45037.0
22,828,IZTAPALAPA,BUENAVISTA,124,35668,3.4765055510000002,9960.0
23,567,CUAUHTEMOC,OBRERA,281,35224,7.97751533,45037.0
24,1074,MIGUEL HIDALGO,ANAHUAC,175,33536,5.218272901000001,46193.0
25,1011,IZTAPALAPA,XALPA,110,32324,3.403044178,9960.0
26,1494,VENUSTIANO CARRANZA,MORELOS,185,31505,5.872083796,18251.0
27,968,IZTAPALAPA,SAN JUAN XALPA,121,31297,3.8661852569999997,9960.0
28,1118,MIGUEL HIDALGO,POLANCO,169,31055,5.4419578170000005,46193.0
29,693,GUSTAVO A MADERO,NUEVA ATZACOALCO,109,31034,3.5122768580000003,14545.0
30,252,AZCAPOTZALCO,EL ROSARIO,137,29252,4.683440449,17255.0
31,843,IZTAPALAPA,CONSEJO AGRARISTA MEXICANO,104,28640,3.6312849160000003,9960.0
32,910,IZTAPALAPA,LEYES DE REFORMA 3A SECCION,143,28106,5.087881591,9960.0
33,871,IZTAPALAPA,ERMITA ZARAGOZA,112,27889,4.015920255,9960.0
34,566,CUAUHTEMOC,NONOALCO TLATELOLCO,158,27843,5.674675861,45037.0
35,570,CUAUHTEMOC,ROMA NORTE,337,27770,12.13539791,45037.0
36,705,GUSTAVO A MADERO,PROVIDENCIA,117,26086,4.485164456000001,14545.0
37,487,COYOACAN,SAN FRANCISCO CULHUACAN,145,25887,5.601267045,27000.0
38,894,IZTAPALAPA,JUAN ESCUTIA,103,25135,4.097871494,9960.0
39,1394,TLALPAN,SAN MIGUEL TOPILEJO,231,24094,9.587449157,6667.0
40,608,GUSTAVO A MADERO,CAMPESTRE ARAGÓN,100,23702,4.2190532439999995,14545.0
41,1058,LA MAGDALENA CONTRERAS,SAN JERÓNIMO LÍDICE,94,22859,4.112165887,12678.0
42,588,GUSTAVO A MADERO,AMPLIACIÓN CASAS ALEMÁN,120,22556,5.320092215,14545.0
43,1219,TLAHUAC,MIGUEL HIDALGO,91,22374,4.067220881,7000.0
44,342,BENITO JUAREZ,DEL VALLE CENTRO,415,22008,18.85677935,44167.0
45,1059,LA MAGDALENA CONTRERAS,PUEBLO SAN NICOLÁS TOTOLAPAN,138,21516,6.413831567000001,12678.0
46,771,IZTACALCO,"GABRIEL RAMOS MILLÁN, SECCIÓN BRAMADERO",128,21357,5.993351126,16949.0
47,1325,TLALPAN,LOMAS DE PADIERNA,122,21186,5.758519777,6667.0
48,1603,XOCHIMILCO,SAN LORENZO LA CEBADA,104,20711,5.021486167,6278.0
49,983,IZTAPALAPA,SANTA CRUZ MEYEHUALCO,198,20417,9.697800852,9960.0
50,892,IZTAPALAPA,JOSÉ LÓPEZ PORTILLO,95,20390,4.659146641,9960.0
51,569,CUAUHTEMOC,PERALVILLO,173,20213,8.558848266,45037.0
52,989,IZTAPALAPA,SANTA MARTHA ACATITLA SUR,94,19886,4.726943578,9960.0
53,572,CUAUHTEMOC,SAN RAFAEL,101,19684,5.131070921,45037.0
54,682,GUSTAVO A MADERO,LINDAVISTA,145,19248,7.533250207999999,14545.0
55,380,BENITO JUAREZ,ÁLAMOS,136,19120,7.112970711,44167.0
56,1514,VENUSTIANO CARRANZA,ZONA CENTRO,159,18434,8.625366171,18251.0
57,1002,IZTAPALAPA,UNIDAD EJÉRCITO CONSTITUCIONALISTA,126,18394,6.8500598020000005,9960.0
58,1185,TLAHUAC,DEL MAR,101,18318,5.513702369,7000.0
59,689,GUSTAVO A MADERO,MARTÍN CARRERA,99,18019,5.494200566,14545.0
60,749,GUSTAVO A MADERO,VALLEJO,112,17923,6.248953857999999,14545.0
61,1239,TLAHUAC,SANTA ANA PONIENTE,98,17673,5.545181916000001,7000.0
62,774,IZTACALCO,INFONAVIT IZTACALCO,121,17661,6.851254176,16949.0
63,773,IZTACALCO,GRANJAS MEXICO,178,17523,10.15807795,16949.0
64,571,CUAUHTEMOC,ROMA SUR,138,17435,7.915113278,45037.0
65,999,IZTAPALAPA,TEPALCATES,105,16834,6.237376737999999,9960.0
66,515,CUAJIMALPA DE MORELOS,CUAJIMALPA,136,16606,8.189810912,13725.0
67,1387,TLALPAN,SAN ANDRES TOTOLTEPEC,353,16503,21.39005029,6667.0
68,777,IZTACALCO,JUVENTINO ROSAS,120,16231,7.393259811,16949.0
69,1608,XOCHIMILCO,SAN MATEO XALPA,129,16065,8.029878618,6278.0
70,365,BENITO JUAREZ,PORTALES SUR,230,15991,14.38309049,44167.0
71,1120,MIGUEL HIDALGO,POPOTLA,87,15585,5.582290663999999,46193.0
72,1399,TLALPAN,PUEBLO SAN PEDRO MÁRTIR,127,15531,8.177193999,6667.0
73,888,IZTAPALAPA,IZTLAHUACÁN,92,15414,5.968599974,9960.0
74,1598,XOCHIMILCO,SAN GREGORIO ATLAPULCO,154,15208,10.12624934,6278.0
75,1309,TLALPAN,HÉROES DE PADIERNA,140,15009,9.327736691,6667.0
76,1340,TLALPAN,MIGUEL HIDALGO 3ERA SECCIÓN,97,14985,6.473139806,6667.0
77,1310,TLALPAN,ISIDRO FABELA,93,13688,6.794272355,6667.0
78,561,CUAUHTEMOC,HIPÓDROMO,122,13572,8.989095196000001,45037.0
79,540,CUAJIMALPA DE MORELOS,SAN MATEO TLALTENANGO,79,13435,5.880163751,13725.0
80,103,ALVARO OBREGON,JARDINES DEL PEDREGAL,89,13403,6.640304409,20714.0
81,1441,VENUSTIANO CARRANZA,20 DE NOVIEMBRE,96,13001,7.384047381,18251.0
82,538,CUAJIMALPA DE MORELOS,SAN JOSÉ DE LOS CEDROS,71,12895,5.506010081,13725.0
83,1132,MIGUEL HIDALGO,TACUBA,105,12599,8.333994761,46193.0
84,1087,MIGUEL HIDALGO,"ESCANDÓN, I SECCIÓN",140,12282,11.39879498,46193.0
85,357,BENITO JUAREZ,NAPOLES,106,12106,8.755988766,44167.0
86,1619,XOCHIMILCO,SANTIAGO TEPALCATLALPAN,117,12018,9.735396905,6278.0
87,370,BENITO JUAREZ,SAN PEDRO DE LOS PINOS,89,12007,7.4123428,44167.0
88,1055,LA MAGDALENA CONTRERAS,PUEBLO SAN BERNABÉ OCOTEPEC,108,11932,9.051290647,12678.0
89,1504,VENUSTIANO CARRANZA,ROMERO RUBIO,90,11796,7.629704985,18251.0
90,1497,VENUSTIANO CARRANZA,PENSADOR MEXICANO,98,11729,8.355358512999999,18251.0
91,558,CUAUHTEMOC,EX-HIPÓDROMO DE PERALVILLO,94,11711,8.026641619,45037.0
92,555,CUAUHTEMOC,CUAUHTÉMOC,118,11399,10.35178524,45037.0
93,1403,TLALPAN,SANTO TOMAS AJUSCO,100,11347,8.812902089,6667.0
94,1392,TLALPAN,SAN MIGUEL AJUSCO,97,11306,8.579515302,6667.0
95,418,COYOACAN,DEL CARMEN,93,10460,8.891013383999999,27000.0
96,792,IZTACALCO,SANTA ANITA,80,10343,7.734699797,16949.0
97,359,BENITO JUAREZ,NATIVITAS,79,10265,7.696054554,44167.0
98,563,CUAUHTEMOC,JUAREZ,235,10184,23.07541241,45037.0
99,694,GUSTAVO A MADERO,NUEVA INDUSTRIAL VALLEJO,84,10026,8.378216637000001,14545.0
100,1498,VENUSTIANO CARRANZA,PEÑÓN DE LOS BAÑOS,119,9921,11.99475859,18251.0
101,573,CUAUHTEMOC,SAN SIMÓN TOLNÁHUAC,91,9885,9.205867476,45037.0
102,1605,XOCHIMILCO,SAN LUCAS XOCHIMANCA,91,9139,9.957325747,6278.0
103,372,BENITO JUAREZ,SANTA CRUZ ATOYAC,117,8600,13.60465116,44167.0
104,1133,MIGUEL HIDALGO,TACUBAYA,112,8447,13.25914526,46193.0
105,1130,MIGUEL HIDALGO,SAN MIGUEL CHAPULTEPEC,94,7671,12.25394342,46193.0
106,1027,LA MAGDALENA CONTRERAS,EL ROSAL,79,7650,10.32679739,12678.0
107,416,COYOACAN,CULHUACÁN CTM SECCIÓN VII,116,6653,17.43574327,27000.0
108,763,IZTACALCO,AMPLIACIÓN GABRIEL RAMOS MILLÁN,104,5568,18.67816092,16949.0
109,696,GUSTAVO A MADERO,NUEVA VALLEJO,82,4223,19.41747573,14545.0
110,96,ALVARO OBREGON,GUADALUPE INN,53,3599,14.72631286,20714.0
111,576,CUAUHTEMOC,TABACALERA,99,3267,30.303030300000003,45037.0
112,198,ALVARO OBREGON,SAN ANGEL,84,2657,31.61460294,20714.0
113,1098,MIGUEL HIDALGO,"LOMAS DE CHAPULTEPEC, I SECCIÓN",94,1785,52.66106443,46193.0
114,838,IZTAPALAPA,CENTRAL DE ABASTO,143,418,342.10526319999997,9960.0
