NUM_CASOS,ALCALDIA,COLONIA_HECHOS,DENUNCIAS,POBLACION,indice
468,COYOACAN,PEDREGAL DE SANTO DOMINGO,519,93364,5.558887794
760,IZTACALCO,AGRICOLA ORIENTAL,555,83600,6.638755981
848,IZTAPALAPA,DESARROLLO URBANO QUETZALCOATL,218,61837,3.525397416
552,CUAUHTEMOC,CENTRO,1302,61229,21.26443352
761,IZTACALCO,AGRICOLA PANTITLAN,364,60708,5.995914871
976,IZTAPALAPA,SAN MIGUEL TEOTONGO,175,55820,3.135077033
840,IZTAPALAPA,CHINAMPAC DE JUÁREZ,120,53468,2.244333059
358,BENITO JUAREZ,NARVARTE,319,52050,6.128722382
713,GUSTAVO A MADERO,SAN FELIPE DE JESUS,198,49970,3.962377426
1484,VENUSTIANO CARRANZA,JARDIN BALBUENA,233,46624,4.997426218
556,CUAUHTEMOC,DOCTORES,626,44703,14.00353444
467,COYOACAN,PEDREGAL DE SANTA URSULA,208,43774,4.751679079
912,IZTAPALAPA,LOMAS DE SAN LORENZO,201,42807,4.695493728
1492,VENUSTIANO CARRANZA,MOCTEZUMA 2A SECCION,339,42795,7.921486155
560,CUAUHTEMOC,GUERRERO,445,42339,10.51040412
575,CUAUHTEMOC,SANTA MARIA LA RIBERA,390,40960,9.521484375
1004,IZTAPALAPA,UNIDAD VICENTE GUERRERO,147,37812,3.887654713
383,COYOACAN,AJUSCO,220,36665,6.00027274
565,CUAUHTEMOC,MORELOS,296,36590,8.089641979
987,IZTAPALAPA,SANTA MARTHA ACATITLA,185,36329,5.092350464
988,IZTAPALAPA,SANTA MARTHA ACATITLA NORTE,100,36329,2.752621872
550,CUAUHTEMOC,BUENAVISTA,253,35668,7.093192778
828,IZTAPALAPA,BUENAVISTA,124,35668,3.476505551
567,CUAUHTEMOC,OBRERA,281,35224,7.97751533
1074,MIGUEL HIDALGO,ANAHUAC,175,33536,5.218272901
1011,IZTAPALAPA,XALPA,110,32324,3.403044178
1494,VENUSTIANO CARRANZA,MORELOS,185,31505,5.872083796
968,IZTAPALAPA,SAN JUAN XALPA,121,31297,3.866185257
1118,MIGUEL HIDALGO,POLANCO,169,31055,5.441957817
693,GUSTAVO A MADERO,NUEVA ATZACOALCO,109,31034,3.512276858
252,AZCAPOTZALCO,EL ROSARIO,137,29252,4.683440449
843,IZTAPALAPA,CONSEJO AGRARISTA MEXICANO,104,28640,3.631284916
910,IZTAPALAPA,LEYES DE REFORMA 3A SECCION,143,28106,5.087881591
871,IZTAPALAPA,ERMITA ZARAGOZA,112,27889,4.015920255
566,CUAUHTEMOC,NONOALCO TLATELOLCO,158,27843,5.674675861
570,CUAUHTEMOC,ROMA NORTE,337,27770,12.13539791
705,GUSTAVO A MADERO,PROVIDENCIA,117,26086,4.485164456
487,COYOACAN,SAN FRANCISCO CULHUACAN,145,25887,5.601267045
894,IZTAPALAPA,JUAN ESCUTIA,103,25135,4.097871494
1394,TLALPAN,SAN MIGUEL TOPILEJO,231,24094,9.587449157
608,GUSTAVO A MADERO,CAMPESTRE ARAGÓN,100,23702,4.219053244
1058,LA MAGDALENA CONTRERAS,SAN JERÓNIMO LÍDICE,94,22859,4.112165887
588,GUSTAVO A MADERO,AMPLIACIÓN CASAS ALEMÁN,120,22556,5.320092215
1219,TLAHUAC,MIGUEL HIDALGO,91,22374,4.067220881
342,BENITO JUAREZ,DEL VALLE CENTRO,415,22008,18.85677935
1059,LA MAGDALENA CONTRERAS,PUEBLO SAN NICOLÁS TOTOLAPAN,138,21516,6.413831567
771,IZTACALCO,"GABRIEL RAMOS MILLÁN, SECCIÓN BRAMADERO",128,21357,5.993351126
1325,TLALPAN,LOMAS DE PADIERNA,122,21186,5.758519777
1603,XOCHIMILCO,SAN LORENZO LA CEBADA,104,20711,5.021486167
983,IZTAPALAPA,SANTA CRUZ MEYEHUALCO,198,20417,9.697800852
892,IZTAPALAPA,JOSÉ LÓPEZ PORTILLO,95,20390,4.659146641
569,CUAUHTEMOC,PERALVILLO,173,20213,8.558848266
989,IZTAPALAPA,SANTA MARTHA ACATITLA SUR,94,19886,4.726943578
572,CUAUHTEMOC,SAN RAFAEL,101,19684,5.131070921
682,GUSTAVO A MADERO,LINDAVISTA,145,19248,7.533250208
380,BENITO JUAREZ,ÁLAMOS,136,19120,7.112970711
1514,VENUSTIANO CARRANZA,ZONA CENTRO,159,18434,8.625366171
1002,IZTAPALAPA,UNIDAD EJÉRCITO CONSTITUCIONALISTA,126,18394,6.850059802
1185,TLAHUAC,DEL MAR,101,18318,5.513702369
689,GUSTAVO A MADERO,MARTÍN CARRERA,99,18019,5.494200566
749,GUSTAVO A MADERO,VALLEJO,112,17923,6.248953858
1239,TLAHUAC,SANTA ANA PONIENTE,98,17673,5.545181916
774,IZTACALCO,INFONAVIT IZTACALCO,121,17661,6.851254176
773,IZTACALCO,GRANJAS MEXICO,178,17523,10.15807795
571,CUAUHTEMOC,ROMA SUR,138,17435,7.915113278
999,IZTAPALAPA,TEPALCATES,105,16834,6.237376738
515,CUAJIMALPA DE MORELOS,CUAJIMALPA,136,16606,8.189810912
1387,TLALPAN,SAN ANDRES TOTOLTEPEC,353,16503,21.39005029
777,IZTACALCO,JUVENTINO ROSAS,120,16231,7.393259811
1608,XOCHIMILCO,SAN MATEO XALPA,129,16065,8.029878618
365,BENITO JUAREZ,PORTALES SUR,230,15991,14.38309049
1120,MIGUEL HIDALGO,POPOTLA,87,15585,5.582290664
1399,TLALPAN,PUEBLO SAN PEDRO MÁRTIR,127,15531,8.177193999
888,IZTAPALAPA,IZTLAHUACÁN,92,15414,5.968599974
1598,XOCHIMILCO,SAN GREGORIO ATLAPULCO,154,15208,10.12624934
1309,TLALPAN,HÉROES DE PADIERNA,140,15009,9.327736691
1340,TLALPAN,MIGUEL HIDALGO 3ERA SECCIÓN,97,14985,6.473139806
1310,TLALPAN,ISIDRO FABELA,93,13688,6.794272355
561,CUAUHTEMOC,HIPÓDROMO,122,13572,8.989095196
540,CUAJIMALPA DE MORELOS,SAN MATEO TLALTENANGO,79,13435,5.880163751
103,ALVARO OBREGON,JARDINES DEL PEDREGAL,89,13403,6.640304409
1441,VENUSTIANO CARRANZA,20 DE NOVIEMBRE,96,13001,7.384047381
538,CUAJIMALPA DE MORELOS,SAN JOSÉ DE LOS CEDROS,71,12895,5.506010081
1132,MIGUEL HIDALGO,TACUBA,105,12599,8.333994761
1087,MIGUEL HIDALGO,"ESCANDÓN, I SECCIÓN",140,12282,11.39879498
357,BENITO JUAREZ,NAPOLES,106,12106,8.755988766
1619,XOCHIMILCO,SANTIAGO TEPALCATLALPAN,117,12018,9.735396905
370,BENITO JUAREZ,SAN PEDRO DE LOS PINOS,89,12007,7.4123428
1055,LA MAGDALENA CONTRERAS,PUEBLO SAN BERNABÉ OCOTEPEC,108,11932,9.051290647
1504,VENUSTIANO CARRANZA,ROMERO RUBIO,90,11796,7.629704985
1497,VENUSTIANO CARRANZA,PENSADOR MEXICANO,98,11729,8.355358513
558,CUAUHTEMOC,EX-HIPÓDROMO DE PERALVILLO,94,11711,8.026641619
555,CUAUHTEMOC,CUAUHTÉMOC,118,11399,10.35178524
1403,TLALPAN,SANTO TOMAS AJUSCO,100,11347,8.812902089
1392,TLALPAN,SAN MIGUEL AJUSCO,97,11306,8.579515302
418,COYOACAN,DEL CARMEN,93,10460,8.891013384
792,IZTACALCO,SANTA ANITA,80,10343,7.734699797
359,BENITO JUAREZ,NATIVITAS,79,10265,7.696054554
563,CUAUHTEMOC,JUAREZ,235,10184,23.07541241
694,GUSTAVO A MADERO,NUEVA INDUSTRIAL VALLEJO,84,10026,8.378216637
1498,VENUSTIANO CARRANZA,PEÑÓN DE LOS BAÑOS,119,9921,11.99475859
573,CUAUHTEMOC,SAN SIMÓN TOLNÁHUAC,91,9885,9.205867476
1605,XOCHIMILCO,SAN LUCAS XOCHIMANCA,91,9139,9.957325747
372,BENITO JUAREZ,SANTA CRUZ ATOYAC,117,8600,13.60465116
1133,MIGUEL HIDALGO,TACUBAYA,112,8447,13.25914526
1130,MIGUEL HIDALGO,SAN MIGUEL CHAPULTEPEC,94,7671,12.25394342
1027,LA MAGDALENA CONTRERAS,EL ROSAL,79,7650,10.32679739
416,COYOACAN,CULHUACÁN CTM SECCIÓN VII,116,6653,17.43574327
763,IZTACALCO,AMPLIACIÓN GABRIEL RAMOS MILLÁN,104,5568,18.67816092
696,GUSTAVO A MADERO,NUEVA VALLEJO,82,4223,19.41747573
96,ALVARO OBREGON,GUADALUPE INN,53,3599,14.72631286
576,CUAUHTEMOC,TABACALERA,99,3267,30.3030303
198,ALVARO OBREGON,SAN ANGEL,84,2657,31.61460294
1098,MIGUEL HIDALGO,"LOMAS DE CHAPULTEPEC, I SECCIÓN",94,1785,52.66106443
838,IZTAPALAPA,CENTRAL DE ABASTO,143,418,342.1052632